,ident_men,pondmen,agepr,cataeu,chomage,cs42pr,nactifs,nactoccup,npers,ocde10,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_valeurs_mobilieres_bruts,rev_etranger,rev_disponible,ppa,salaires,stalog,tau,tuu,typmen,donation_class_1
7662,10749,863.57341636899,48.0,111,0.0,54,1.0,0.0,3.0,1.6,0.0,6070.0,0.0,0.0,0.0,0.0,16224.0,0.0,0.0,3,9,7.0,2,1.0
7663,10751,2232.003735805185,78.0,112,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14420.0,0.0,0.0,11459.15,0.0,0.0,1,9,1.0,1,0.0
7664,10754,2343.4653613540127,45.0,112,10680.0,48,2.0,1.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,34306.4,0.0,23320.0,3,9,0.0,3,2.0
7665,10755,2635.8992856362092,57.0,112,0.0,54,1.0,1.0,2.0,1.5,0.0,0.0,0.0,15500.0,0.0,0.0,29206.8,0.0,17420.0,3,10,0.0,3,1.0
7666,10756,1106.2879919478394,56.0,112,0.0,85,0.0,0.0,4.0,2.3,0.0,0.0,0.0,6270.0,0.0,0.0,10442.0,0.0,0.0,3,8,0.0,4,0.0
7667,10757,2211.831137814675,73.0,400,0.0,74,0.0,0.0,1.0,1.0,0.0,0.0,0.0,27240.0,0.0,0.0,24738.85,0.0,0.0,1,0,0.0,1,0.0
7668,10758,596.6584222889016,25.0,211,0.0,63,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,18769.0,0.0,19700.0,3,1,2.0,3,2.0
7669,10760,2219.5291967497196,41.0,221,0.0,52,3,3.0,6.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,31960.95,0.0,20140.0,1,3,4.0,4,3.0
7670,10761,1918.8267538589557,41.0,111,0.0,62,1.0,1.0,6.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,38671.1,0.0,28430.0,2,9,7.0,4,1.0
7671,10762,2908.3224255907317,40.0,300,0.0,67,2.0,2.0,4.0,2.3,0.0,0.0,0.0,0.0,37.0,0.0,42775.2,0.0,40070.0,2,0,0.0,4,2.0
7672,10765,3139.215473360514,56.0,112,0.0,75,1.0,1.0,3.0,2.0,0.0,0.0,0.0,8950.0,0.0,0.0,28264.35,0.0,31300.0,1,9,3.0,4,1.0
7673,10767,1094.0315920040705,29.0,111,0.0,85,0.0,0.0,4.0,1.9,0.0,5690.0,0.0,0.0,0.0,0.0,25580.0,0.0,0.0,3,8,7.0,2,0.0
7674,10768,2924.22337511208,36.0,211,0.0,46,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,48095.35,0.0,50250.0,2,1,3.0,4,2.0
7675,10769,2377.298717800243,35.0,111,0.0,33,2.0,2.0,3.0,1.8,0.0,0.0,0.0,0.0,311.0,0.0,49501.25,0.0,45900.0,2,9,7.0,4,2.0
7676,10770,5308.199297776478,26.0,111,370.0,56,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16252.0,960.0,14910.0,3,7,6.0,1,1.0
7677,10771,2242.4757159931023,53.0,111,0.0,43,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,56979.99278467811,0.0,63820.0,1,9,7.0,3,2.0
7678,10772,3560.3908776477792,33.0,111,0.0,22,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,32589.75,0.0,33020.0,3,9,7.0,3,2.0
7679,10773,1725.0230853298665,49.0,211,0.0,85,0.0,0.0,2.0,1.5,20700.0,0.0,0.0,0.0,0.0,0.0,20700.0,0.0,0.0,3,2,3.0,3,0.0
7680,10776,1449.2297360039531,66.0,111,0.0,74,0.0,0.0,2.0,1.5,0.0,0.0,0.0,37530.0,426.0,0.0,40799.1,0.0,0.0,1,8,6.0,3,0.0
7681,10778,1765.2839774170711,59.0,112,0.0,56,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3710.0,0.0,0.0,22254.25,0.0,3490.0,3,5,0.0,1,1.0
7682,10779,3425.443946135137,85.0,111,0.0,77,0.0,0.0,2.0,1.5,0.0,0.0,0.0,30680.0,0.0,0.0,33424.2,0.0,0.0,1,9,7.0,3,0.0
7683,10780,855.9898649382349,49.0,111,0.0,33,1.0,1.0,2.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,22464.35,0.0,22330.0,3,9,7.0,2,1.0
7684,10781,678.6591514876108,48.0,111,0.0,31,1.0,1.0,3.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,47471.35,0.0,0.0,2,5,4.0,2,1.0
7685,10782,3346.4291358756745,61.0,111,0.0,43,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,493.0,0.0,35716.1,0.0,40540.0,3,9,7.0,1,1.0
7686,10783,1470.2337003208904,58.0,111,0.0,63,1.0,1.0,2.0,1.5,0.0,0.0,0.0,14810.0,0.0,0.0,20462.65,0.0,6060.0,3,4,4.0,3,1.0
7687,10784,2010.5182312947852,65.0,112,0.0,42,2.0,2.0,2.0,1.5,0.0,0.0,0.0,31210.0,0.0,0.0,69750.35,0.0,23260.0,1,8,0.0,3,2.0
7688,10785,2933.4342815879163,31.0,112,0.0,42,2.0,2.0,4.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,36259.05,0.0,26090.0,5,8,0.0,4,2.0
7689,10787,2365.42237344427,66.0,300,0.0,74,0.0,0.0,2.0,1.5,0.0,0.0,0.0,43920.0,0.0,0.0,40277.95,0.0,0.0,1,0,0.0,3,0.0
7690,10788,1812.804035304123,41.0,112,870.0,43,1.0,0.0,3.0,1.6,0.0,5040.0,0.0,0.0,0.0,0.0,9384.4,260.0,1300.0,3,10,2.0,2,1.0
7691,10789,2307.3608679917875,55.0,111,0.0,33,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,71586.55,0.0,83130.0,1,9,7.0,3,2.0
7692,10790,2269.4128156471115,59.0,111,0.0,56,1.0,1.0,2.0,1.5,0.0,0.0,0.0,22660.0,222.0,0.0,22192.45,0.0,0.0,2,8,7.0,3,1.0
7693,10791,2507.5307875688345,39.0,111,0.0,22,2.0,2.0,5.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,69114.6709016782,0.0,50660.0,2,7,5.0,4,2.0
7694,10792,2789.6406005921267,34.0,112,0.0,31,1.0,1.0,3.0,1.8,0.0,0.0,0.0,0.0,119.0,0.0,160038.35,0.0,0.0,3,8,0.0,4,1.0
7695,10793,705.537109428312,70.0,112,0.0,74,0.0,0.0,2.0,1.5,0.0,0.0,0.0,70400.0,2339.0,0.0,89346.85,0.0,0.0,1,10,0.0,3,0.0
